surveyname,datestart,dateclose,crsnum,crsname,crsyear,deptname,crs_dir,resp_fac,eval_id,eval_uname,eval_email,tsubmit,mobile,gradyear,gender,research1,research2,research3,The instructor made it clear what students were expected to learn.,The instructor communicated the subject matter effectively.,The instructor helped inspire interest in learning the subject matter.,Overall  evaluation of student learning (through exams  essays  presentations  etc.) was fair.,The instructor showed concern for student learning.,Overall  the instructor was an effective teacher.
LFS Instructor/Course Evaluation 2017W1,,,FNH 200 001,Exploring Our Food,2,FNH,Timmy Anderson,Timmy Anderson,,DPQ91MZ62J,timmy.anderson@ubc.ca,,0,,Male,,,,4,5,3,2,4,3
LFS Instructor/Course Evaluation 2017W1,,,FNH 200 001,Exploring Our Food,2,FNH,Timmy Anderson,Timmy Anderson,,DPQ91MZ62J,timmy.anderson@ubc.ca,,0,,Female,,,,1,5,5,2,1,2
LFS Instructor/Course Evaluation 2017W1,,,FNH 200 001,Exploring Our Food,2,FNH,Timmy Anderson,Timmy Anderson,,DPQ91MZ62J,timmy.anderson@ubc.ca,,0,,Male,,,,5,5,5,3,5,2
LFS Instructor/Course Evaluation 2017W1,,,FNH 200 001,Exploring Our Food,2,FNH,Timmy Anderson,Timmy Anderson,,DPQ91MZ62J,timmy.anderson@ubc.ca,,0,,Male,,,,3,1,3,1,3,5
LFS Instructor/Course Evaluation 2017W1,,,FNH 200 001,Exploring Our Food,2,FNH,Timmy Anderson,Timmy Anderson,,DPQ91MZ62J,timmy.anderson@ubc.ca,,0,,Male,,,,3,1,4,5,2,1
LFS Instructor/Course Evaluation 2017W1,,,FNH 200 001,Exploring Our Food,2,FNH,Timmy Anderson,Timmy Anderson,,DPQ91MZ62J,timmy.anderson@ubc.ca,,0,,Male,,,,5,4,5,3,1,1
LFS Instructor/Course Evaluation 2017W1,,,FNH 200 001,Exploring Our Food,2,FNH,Timmy Anderson,Timmy Anderson,,DPQ91MZ62J,timmy.anderson@ubc.ca,,0,,Female,,,,5,4,1,2,5,4
LFS Instructor/Course Evaluation 2017W1,,,FNH 200 001,Exploring Our Food,2,FNH,Timmy Anderson,Timmy Anderson,,DPQ91MZ62J,timmy.anderson@ubc.ca,,1,,Male,,,,1,1,2,1,4,5
LFS Instructor/Course Evaluation 2017W1,,,FNH 200 001,Exploring Our Food,2,FNH,Timmy Anderson,Timmy Anderson,,DPQ91MZ62J,timmy.anderson@ubc.ca,,1,,Male,,,,3,4,3,3,3,5
LFS Instructor/Course Evaluation 2017W1,,,FNH 200 001,Exploring Our Food,2,FNH,Timmy Anderson,Timmy Anderson,,DPQ91MZ62J,timmy.anderson@ubc.ca,,1,,Female,,,,4,1,1,1,5,5
